epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,21474,0.87886,0.63846,1.09762,0.77234,0.68873,0.71019,0.49629,1.309,1.25859,1.45814,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,21886.4,0.87507,0.64338,1.09681,0.73423,0.70274,0.71326,0.50386,1.3292,1.24926,1.47641,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,22298.6,0.86634,0.63498,1.09082,0.76593,0.6808,0.71289,0.50365,1.29121,1.24645,1.43447,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,22711,0.86785,0.63789,1.09143,0.76155,0.70147,0.72058,0.50527,1.30355,1.22582,1.45922,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,23123.3,0.83746,0.60975,1.08038,0.75769,0.69558,0.71096,0.49732,1.31306,1.25956,1.48303,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,23535.7,0.84487,0.60991,1.07338,0.7591,0.69006,0.71458,0.50707,1.30002,1.24287,1.44495,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,23948.1,0.83264,0.59677,1.07197,0.76458,0.69324,0.70829,0.50239,1.29852,1.28242,1.45018,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,24360.6,0.82922,0.59798,1.07005,0.77322,0.69367,0.71723,0.50424,1.32453,1.24567,1.47208,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,24772.8,0.81672,0.59092,1.06894,0.73651,0.71584,0.70884,0.50359,1.31195,1.30873,1.46412,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,25185.3,0.81138,0.58571,1.05947,0.76016,0.686,0.70077,0.4957,1.31021,1.28418,1.47543,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,25597.7,0.81207,0.57982,1.05721,0.7354,0.70302,0.70278,0.49593,1.31739,1.29181,1.45923,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,26010.2,0.80517,0.57427,1.05516,0.75844,0.68953,0.70527,0.50018,1.30807,1.27727,1.45504,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,26422.5,0.78513,0.56758,1.04488,0.76677,0.70202,0.70602,0.49921,1.31577,1.31387,1.48053,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,26834.9,0.78282,0.55639,1.04385,0.77923,0.68728,0.70533,0.49728,1.31178,1.33129,1.47509,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,27247.1,0.78211,0.55948,1.04286,0.75303,0.69402,0.70642,0.50187,1.29109,1.27958,1.46741,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,27659.5,0.76418,0.54169,1.03605,0.7584,0.69801,0.70804,0.49764,1.31683,1.29769,1.4858,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,28071.8,0.76684,0.53391,1.03416,0.75235,0.71029,0.71234,0.50861,1.2989,1.29067,1.47056,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,28484.3,0.75987,0.53467,1.03154,0.78776,0.68617,0.71205,0.50059,1.32268,1.32471,1.48821,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,28896.5,0.75086,0.52822,1.02537,0.77493,0.6834,0.70019,0.49361,1.30651,1.33669,1.48771,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,29309,0.74026,0.51453,1.02008,0.75706,0.70126,0.70373,0.49531,1.30354,1.29871,1.48507,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,29721.3,0.74884,0.5271,1.02399,0.78423,0.68475,0.70033,0.49522,1.31214,1.31759,1.49163,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,30133.7,0.73116,0.51114,1.0121,0.77808,0.69132,0.70172,0.50086,1.3151,1.28592,1.49319,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,30546.1,0.72162,0.50918,1.01507,0.80223,0.67129,0.70221,0.50356,1.29566,1.30394,1.47721,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,30958.4,0.72201,0.5045,1.01606,0.75266,0.70766,0.70912,0.50362,1.32199,1.34681,1.49971,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,31370.7,0.70835,0.49501,1.0094,0.77187,0.68881,0.70341,0.49947,1.30518,1.32045,1.50047,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,31783,0.70804,0.49639,1.00281,0.77716,0.68797,0.70071,0.49992,1.29486,1.33454,1.48173,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,32195.3,0.70466,0.49165,1.0061,0.75936,0.69781,0.69826,0.49846,1.30918,1.36042,1.49476,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,32607.7,0.7049,0.49056,1.00748,0.76357,0.69287,0.70047,0.50153,1.30694,1.31961,1.49667,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,33019.9,0.68877,0.4792,0.99465,0.75447,0.69344,0.69757,0.49666,1.29939,1.34868,1.4916,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,33432.2,0.68426,0.47726,0.99807,0.77233,0.68399,0.69776,0.49523,1.305,1.34581,1.50144,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,33844.4,0.67084,0.46933,0.99132,0.76797,0.68509,0.69761,0.49756,1.29697,1.31498,1.49447,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,34256.7,0.67854,0.47347,0.99127,0.74193,0.70587,0.69937,0.49924,1.3114,1.31339,1.51643,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,34668.9,0.67138,0.4659,0.98842,0.78203,0.69456,0.70651,0.5035,1.29306,1.30055,1.49136,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,35081.2,0.66331,0.46242,0.98721,0.77515,0.70553,0.71105,0.51407,1.29699,1.3472,1.48684,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,35493.6,0.66441,0.46302,0.98521,0.80626,0.68648,0.70777,0.5041,1.30568,1.33165,1.4938,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,35905.9,0.65827,0.4547,0.9782,0.77231,0.69233,0.69724,0.49969,1.29573,1.36061,1.49965,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,36318.3,0.64919,0.4522,0.97837,0.74482,0.70632,0.70164,0.50472,1.29433,1.39802,1.49713,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,36730.6,0.63915,0.44673,0.97214,0.77014,0.6943,0.70291,0.50151,1.29971,1.36581,1.50346,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,37142.8,0.6349,0.44393,0.96906,0.77536,0.69,0.71041,0.5069,1.3021,1.36694,1.51117,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,37555,0.63322,0.44059,0.96597,0.7744,0.69116,0.70429,0.50478,1.30141,1.36954,1.51805,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,37967.2,0.62433,0.43483,0.96046,0.77691,0.68771,0.70221,0.50272,1.29568,1.41064,1.50054,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,38379.3,0.62372,0.43003,0.96471,0.80253,0.67475,0.70263,0.50419,1.2933,1.39088,1.50829,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,38791.6,0.62685,0.4362,0.9675,0.80998,0.67487,0.70084,0.50591,1.29353,1.37174,1.51982,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,39203.8,0.61747,0.42876,0.96507,0.79134,0.68429,0.70119,0.50463,1.30032,1.3869,1.53536,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,39615.8,0.60009,0.41906,0.95422,0.78116,0.68432,0.69978,0.5033,1.29457,1.38322,1.5384,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,40028.1,0.60684,0.41672,0.95723,0.80414,0.67525,0.70155,0.50627,1.29076,1.39481,1.52759,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,40440.2,0.59757,0.41521,0.95193,0.79621,0.68004,0.70148,0.50728,1.28617,1.3828,1.51316,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,40852.6,0.60556,0.41791,0.95678,0.81579,0.66702,0.70212,0.50937,1.28,1.40214,1.50577,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,41264.8,0.59213,0.4101,0.95746,0.81394,0.67021,0.70546,0.51338,1.27826,1.41682,1.49536,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,41677,0.58221,0.40315,0.94784,0.82531,0.66414,0.7055,0.51173,1.28553,1.4187,1.50638,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,42089.3,0.5874,0.40521,0.95082,0.79775,0.68421,0.7066,0.50998,1.29145,1.40844,1.52607,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,42501.5,0.57129,0.39387,0.94264,0.75587,0.70485,0.70259,0.50875,1.29159,1.43966,1.51779,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,42913.6,0.57481,0.39699,0.94703,0.79474,0.68091,0.69872,0.50541,1.28452,1.42812,1.51021,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,43325.9,0.56406,0.39487,0.9366,0.78204,0.68438,0.69826,0.50702,1.28588,1.40515,1.5221,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,43738.1,0.57319,0.39562,0.9399,0.78077,0.68631,0.70189,0.50794,1.29638,1.41453,1.54394,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,44150.3,0.56326,0.3894,0.93778,0.78672,0.68495,0.70275,0.51072,1.2944,1.39656,1.54392,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,44562.4,0.54963,0.38123,0.93843,0.78825,0.68329,0.69594,0.5056,1.29246,1.4063,1.53299,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,44974.5,0.55448,0.38653,0.93565,0.77538,0.68945,0.69611,0.50452,1.2879,1.40824,1.52537,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,45386.6,0.55113,0.37793,0.93237,0.75993,0.70173,0.69755,0.50586,1.28904,1.42171,1.52536,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
